tablet	excavationNumbers
P004227	W 21061,3
P004228	W 21061,4
P004229	W 21061,5
P004230	W 21063
P004231	W 21068
P004232	W 21069,1
P004233	W 21069,2
P004234	W 21074,1
P004235	W 21074,2
P004236	W 21074,3
P004237	W 21074,4
P004238	W 21074,5
P004239	W 21074,6
P004241	W 21075,2
P004242	W 21075,4
P004243	W 21075,5
P004244	W 21080,1
P004245	W 21080,2
P004246	W 21080,3
P004247	W 21080,4
P004248	W 21081,1
P004249	W 21081,2
P004250	W 21082,1
P004251	W 21082,2
P004252	W 21085
P004253	W 21086
P004254	W 21087
P004255	W 21090
P004256	W 21092
P004257	W 21104,1
P004258	W 21104,3
P004259	W 21104,4
P004260	W 21104,5
P004261	W 21107
P004262	W 21108,1b
P004263	W 21111
P004264	W 21112
P004265	W 21113,1
P004266	W 21113,2
P004267	W 21115,1
P004268	W 21115,2
P004269	W 21115,3
P004270	W 21115,4
P004271	W 21116,1
P004272	W 21116,2
P004273	W 21116,3
P004274	W 21116,5
P004275	W 21116,6
P004276	W 21116,7
P004277	W 21118,2
P004278	W 21118,3
P004279	W 21119,1
P004280	W 21119,2
P004281	W 21119,3
P004282	W 21119,5
P004283	W 21119,6
P004284	W 21119,7
P004285	W 21119,8
P004286	W 21121,1
P004287	W 21128
P004288	W 21135
P004289	W 21145,2
P004290	W 21151
P004291	W 21152,1
P004292	W 21152,3
P004293	W 21152,4
P004294	W 21152,5
P004295	W 21152,6
P004296	W 21152,7
P004297	W 21152,8
P004298	W 21154,3
P004299	W 21157
P004300	W 21158,1
P004301	W 21158,4
P004302	W 21162
P004303	W 21163,1
P004304	W 21163,2
P004305	W 21170
P004306	W 21172
P004307	W 21174
P004308	W 21183
P004309	W 21184,1
P004310	W 21184,2 + W 21292
P004311	W 21184,5
P004312	W 21193
P004313	W 21194
P004314	W 21195,1
P004315	W 21196
P004316	W 21200
P004317	W 21209,2 + W 21209,3 + W 21209,4 +W 21209, 7
P004321	W 21212
P004322	W 21224
P004323	W 21231,1
P004324	W 21231,2
P004325	W 21231,3
P004326	W 21232
P004327	W 21234
P004328	W 21236
P004329	W 21240,1
P004330	W 21241,1
P004331	W 21241,2
P004332	W 21252,2
P004333	W 21253,01
P004334	W 21253,02
P004335	W 21253,03
P004336	W 21253,04
P004337	W 21253,05
P004338	W 21253,06
P004339	W 21253,07
P004340	W 21253,09
P004341	W 21253,10
P004342	W 21253,11
P004343	W 21253,12
P004344	W 21258,1
P004345	W 21258,2
P004346	W 21258,3
P004347	W 21263,1
P004348	W 21263,2
P004349	W 21263,3
P004350	W 21263,4
P004351	W 21263,5
P004352	W 21278
P004353	W 21279
P004354	W 21283
P004355	W 21290
P004357	W 21300,1
P004358	W 21300,2
P004359	W 21300,3
P004360	W 21300,4
P004361	W 21300,5
P004362	W 21300,6
P004363	W 21300,7
P004364	W 21303,1
P004365	W 21303,2
P004366	W 21307,a
P004367	W 21311,1
P004368	W 21311,2
P004369	W 21328
P004370	W 21329,2
P004371	W 21330
P004372	W 21331,1
P004373	W 21335
P004374	W 21342
P004375	W 21355,2
P004376	W 21355,3
P004377	W 21375,2
P004378	W 21385
P004379	W 21387
P004380	W 21393
P004381	W 21394
P004382	W 21397,1
P004383	W 21397,2
P004384	W 21403
P004385	W 21418,02
P004386	W 21418,03
P004387	W 21418,04
P004388	W 21418,06
P004389	W 21418,08
P004390	W 21418,09
P004391	W 21418,10
P004392	W 21418,11
P004393	W 21418,13
P004394	W 21418,14
P004395	W 21418,15
P004396	W 21418,16
P004397	W 21418,17
P004398	W 21418,18
P004399	W 21418,19
P004400	W 21446
P004401	W 21450
P004403	W 21456
P004404	W 21463
P004405	W 21464,a
P004406	W 21464,b
P004407	W 21498
P004408	W 21500 + W 21555?
P004409	W 21534
P004410	W 21537
P004411	W 21554
P004413	W 21559
P004414	W 21562
P004415	W 21570
P004416	W 21590
P004417	W 21598
P004418	W 21601
P004419	W 21607
P004420	W 21608
P004421	W 21612
P004422	W 21644
P004423	W 21654,1
P004424	W 21654,2
P004425	W 21654,3
P004426	W 21654,4
P004427	W 21654,5
P004428	W 21654,6
P004429	W 21654,7
P004430	W 21662,1
P004431	W 21662,2
P004432	W 21662,3
P004433	W 21663
P004434	W 21671
P004435	W 21678 + W 21680
P004437	W 21682
P004438	W 21691
P004439	W 21695
P004440	W 21696
P004441	W 21700
P004442	W 21733,1
P004443	W 21733,2
P004444	W 21733,3
P004445	W 21733,4
P004446	W 21733,5
P004447	W 21733,6
P004448	W 21733,7
P004449	W 21733,8
P004450	W 21734,1
P004451	W 21734,2
P004452	W 21735,1 + W 21738?
P004453	W 21735,2
P004454	W 21736
P004456	W 21742
P004457	W 21744
P004458	W 21755
P004459	W 21760
P004460	W 21771
P004461	W 21814
P004462	W 21839,1
P004463	W 21839,2
P004464	W 21839,3
P004465	W 21840
P004466	W 21842
P004467	W 21848
P004468	W 21859
P004469	W 21864
P004470	W 21869
P004471	W 21876
P004472	W 21878
P004473	W 21880
P004474	W 21883
P004475	W 21897
P004476	W 21902
P004477	W 21912
P004478	W 21913
P004479	W 21914
P004480	W 21934
P004481	W 22090,1a
P004482	W 22090,1b
P004483	W 22090,1c
P004484	W 22090,1d
P004485	W 22090,1e
P004486	W 22090,4
P004487	W 22090,6
P004488	W 22090,7
P004489	W 22091,0
P004490	W 22091,1 + W 22118,2
P004491	W 22091,2
P004492	W 22091,4
P004493	W 22091,5
P004494	W 22091,6
P004495	W 22091,7
P004496	W 22098
P004497	W 22099
P004498	W 22100,0
P004499	W 22100,01
P004500	W 22100,02
P004501	W 22100,03
P004502	W 22100,04
P004503	W 22100,05
P004504	W 22100,06
P004505	W 22100,07
P004506	W 22100,08
P004507	W 22100,09
P004508	W 22100,10
P004509	W 22101,0
P004510	W 22101,1
P004511	W 22101,2
P004512	W 22101,3
P004513	W 22101,4
P004514	W 22101,5
P004515	W 22101,6
P004516	W 22101,8
P004517	W 22101,9c
P004518	W 22101,9d
P004519	W 22101,9e
P004520	W 22101,9f
P004521	W 22101,9g
P004522	W 22102,0
P004523	W 22102,1
P004524	W 22102,2
P004525	W 22102,3
P004526	W 22102,4
P004527	W 22102,5 + W 22103,4 + W 22104,1
P004528	W 22102,6
P004529	W 22102,7
P004530	W 22102,8
P004531	W 22102,9
P004532	W 22102,9a
P004535	W 22102,9d
P004537	W 22102,9f
P004539	W 22102,9h
P004541	W 22102,9j
P004542	W 22103,0
P004543	W 22103,1
P004544	W 22103,2
P004545	W 22103,3
P004547	W 22103,5
P004548	W 22103,6
P004549	W 22103,7
P004550	W 22103,8
P004551	W 22103,9
P004553	W 22104,2
P004554	W 22104,3
P004555	W 22104,4a
P004556	W 22104,4b
P004557	W 22104,4c
P004558	W 22104,4d
P004559	W 22104,4e
P004560	W 22104,4f
P004561	W 22104,4g
P004562	W 22104,4h
P004563	W 22104,4i
P004564	W 22104,4j
P004565	W 22104,4k
P004566	W 22104,4l
P004567	W 22104,4m
P004568	W 22112
P004569	W 22113
P004570	W 22114
P004571	W 22115,1
P004572	W 22115,2
P004573	W 22115,3
P004574	W 22115,4
P004575	W 22115,5
P004576	W 22115,6
P004577	W 22115,7
P004578	W 22115,8
P004579	W 22115,9
P004580	W 22116,0
P004581	W 22116,1
P004582	W 22116,3
P004583	W 22116,4
P004584	W 22116,5
P004585	W 22116,6
P004586	W 22116,7
P004587	W 22116,8
P004588	W 22116,9
P004589	W 22117,1 + W 22117,2
P004591	W 22117,3
P004592	W 22117,4
P004594	W 22117,5b
P004595	W 22117,5c
P004598	W 22117,5f
P004599	W 22118,0
P004600	W 22118,1
P004602	W 22118,3 + W 22123,i+o
P004603	W 22118,4
P004604	W 22118,5
P004605	W 22118,8
P004606	W 22118,9
P004607	W 22119,0
P004608	W 22119,1
P004609	W 22119,2
P004610	W 22119,3
P004611	W 22119,6
P004612	W 22119,7
P004613	W 22119,8
P004614	W 22119,9
P004615	W 22120,0
P004616	W 22120,1
P004617	W 22120,2
P004618	W 22120,3
P004619	W 22120,4
P004620	W 22120,5
P004621	W 22120,6
P004622	W 22120,7
P004623	W 22120,8
P004624	W 22120,9
P004625	W 22121,0
P004626	W 22121,1
P004627	W 22121,2
P004628	W 22121,3
P004629	W 22121,4
P004630	W 22121,5
P004631	W 22121,6
P004632	W 22121,7
P004633	W 22121,8
P004634	W 22121,9
P004635	W 22122,0 + W 22122,1
P004637	W 22122,2
P004638	W 22122,3a
P004639	W 22122,3b
P004640	W 22122,4
P004641	W 22122,5
P004642	W 22123,a
P004643	W 22123,b
P004644	W 22123,c
P004645	W 22123,d
P004646	W 22123,e
P004647	W 22123,f
P004648	W 22123,g
P004649	W 22123,h
P004651	W 22123,j
P004652	W 22123,k
P004653	W 22123,l
P004654	W 22123,m
P004655	W 22123,n
P004657	W 22123,p
P004658	W 22123,q
P004659	W 22133
P004660	W 22134
P004661	W 22135,0
P004662	W 22135,1
P004663	W 22135,2 + W 22135,3
P004665	W 22135,6
P004666	W 22137
P004667	W 22170
P004668	W 22200
P004670	W 22421
P004671	W 22720,3a
P004672	W 23850
P004673	W 23851
P004674	W 23895
P004675	W 23948
P004676	W 23950
P004677	W 23951
P004678	W 23952
P004679	W 23968
P004680	W 23969,1
P004681	W 23969,2
P004682	W 23972,1
P004683	W 23972,2
P004684	W 23973,01
P004685	W 23973,03
P004686	W 23973,04
P004687	W 23973,05
P004688	W 23973,06
P004689	W 23973,07a
P004690	W 23973,07b
P004691	W 23973,08
P004692	W 23973,09a
P004693	W 23973,09b
P004694	W 23973,10a
P004695	W 23973,10b
P004696	W 23982,1
P004697	W 23982,2a
P004698	W 23982,2b
P004699	W 23982,3
P004700	W 23982,4a
P004701	W 23982,4b
P004702	W 23982,5
P004703	W 23983,a
P004704	W 23983,b
P004705	W 23983,c
P004706	W 23983,d
P004707	W 23983,f
P004708	W 23986,b
P004709	W 23987
P004710	W 23988
P004711	W 23990,a
P004712	W 23990,b
P004713	W 23990,c
P004714	W 23990,d
P004715	W 23990,e
P004716	W 23991,a
P004717	W 23991,b
P004718	W 23992
P004719	W 23993
P004720	W 23994
P004721	W 23995
P004722	W 23997,1
P004723	W 23997,3
P004724	W 23997,4b
P004725	W 23997,4c
P004726	W 23997,4d
P004727	W 23997,4e
P004728	W 23998,1a
P004729	W 23998,2a
P004730	W 23998,2b
P004731	W 23998,2c
P004732	W 23998,2d
P004733	W 23998,2e
P004734	W 23998,2f
P004735	W 23999,1
P004736	W 23999,2
P004737	W 23999,3
P004738	W 23999,4a
P004739	W 23999,4b
P004740	W 23999,4d
P004741	W 23999,4e
P004742	W 23999,4f
P004743	W 23999,5a
P004744	W 24004,02
P004745	W 24004,02b
P004746	W 24004,02c
P004747	W 24004,03b
P004748	W 24004,04a
P004749	W 24004,04c + W 24004,04d
P004750	W 24004,04e
P004751	W 24004,04f
P004752	W 24004,05
P004753	W 24004,06
P004754	W 24004,07
P004755	W 24004,08a
P004756	W 24004,08b
P004757	W 24004,10
P004758	W 24004,11
P004759	W 24004,12
P004760	W 24004,13
P004761	W 24004,14b
P004762	W 24004,14d
P004763	W 24006,02
P004764	W 24006,03
P004765	W 24006,05
P004766	W 24006,06a
P004767	W 24006,06b
P004768	W 24006,07
P004769	W 24006,08
P004770	W 24006,09
P004771	W 24006,10
P004772	W 24006,11
P004773	W 24007,1
P004774	W 24007,3
P004775	W 24007,4
P004776	W 24007,5
P004777	W 24007,6
P004778	W 24008,08
P004779	W 24008,12
P004780	W 24008,14
P004781	W 24008,15
P004782	W 24008,17
P004783	W 24008,19
P004784	W 24008,20
P004785	W 24008,21
P004786	W 24008,22
P004787	W 24008,24
P004788	W 24008,25
P004789	W 24008,26
P004790	W 24008,27a
P004791	W 24008,27b
P004792	W 24008,27c
P004793	W 24008,27d
P004794	W 24008,27e
P004795	W 24008,27f
P004796	W 24010,5
P004797	W 24010,6
P004798	W 24011,1
P004799	W 24011,2
P004800	W 24011,3
P004801	W 24011,4
P004802	W 24011,6
P004803	W 24011,7
P004804	W 24011,8
P004805	W 24011,9
P004806	W 24012,01
P004807	W 24012,04
P004808	W 24012,05
P004809	W 24012,06
P004811	W 24012,09
P004812	W 24012,10
P004814	W 24013,01
P004815	W 24013,02
P004816	W 24013,03
P004817	W 24013,04
P004818	W 24013,06
P004819	W 24013,08
P004820	W 24013,09
P004821	W 24013,10
P004822	W 24013,11b
P004823	W 24013,11c
P004824	W 24013,11d
P004825	W 24013,11e
P004826	W 24013,11f
P004827	W 24013,12
P004828	W 24013,13
P004829	W 24013,15
P004830	W 24013,16
P004831	W 24013,19
P004832	W 24013,20
P004833	W 24013,21
P004834	W 24013,22
P004835	W 24013,23
P004836	W 24013,24
P004837	W 24013,25
P004838	W 24014
P004839	W 24015,3
P004840	W 24015,4
P004841	W 24015,5
P004842	W 24017
P004843	W 24018,1
P004844	W 24018,2
P004845	W 24018,3
P004846	W 24018,4
P004847	W 24018,7
P004848	W 24018,8
P004849	W 24021,01
P004850	W 24021,02
P004851	W 24021,03
P004852	W 24021,04
P004853	W 24021,05
P004854	W 24021,06
P004855	W 24021,07
P004856	W 24021,08
P004857	W 24021,09
P004858	W 24021,10
P004859	W 24021,11
P004860	W 24021,13
P004861	W 24021,14
P004862	W 24021,15
P004863	W 24021,16
P004864	W 24021,18a
P004865	W 24021,18b
P004866	W 24021,18c
P004867	W 24021,18d
P004868	W 24021,18e
P004869	W 24021,18f
P004870	W 24022
P004871	W 24024,1
P004872	W 24024,2
P004873	W 24025
P004874	W 24026
P004875	W 24027
P004876	W 24028,1
P004877	W 24029,1
P004878	W 24030
P004879	W 24031
P004880	W 24033,01
P004881	W 24033,02
P004882	W 24033,03
P004883	W 24033,04
P004884	W 24033,05
P004885	W 24033,06
P004886	W 24033,07
P004887	W 24033,09
P004888	W 24033,10
P004889	W 24034
P004890	W 24046,1
P004891	W 24046,2
P004892	W 24046,3
P004893	W 24046,4
P004894	W 24046,5
P004895	W 24046,6
P004896	W 24046,7
P004897	W 24046,8
P004898	W 24047
P004899	W 24049
P004900	W 24050
P004901	W 24051
P004902	W 24060
P004903	W 24061
P004904	W 24062
P004905	W 24153
P004906	W 24156
P004907	W 24159
P004908	W 24160
P004909	W 24162
P004910	W 24181,a
P004911	W 24181,b
P004912	W 24181,c
P004913	W 24181,d
P004914	W 24181,e
P004915	W 24181,f
P004916	W 24182
P004917	W 24183
P004918	W 24184
P004919	W 24185
P004920	W 24186
P004921	W 24187
P004922	W 24188
P004923	W 24189
P004924	W 24190
P004925	W 24191
P004926	W 24192,a
P004927	W 24192,b
P004928	W 24193,a
P004929	W 24193,b
P004930	W 24193,c
P004931	W 24195
P004932	W 24196
P004933	W 24198
P004934	W 24199
P004935	W 24200
P004936	W 24200,a
P004937	W 24201,a
P004938	W 24202
P004939	W 24203,b
P004940	W 24203,c
P004941	W 24203,d
P004942	W 24204,1
P004943	W 24204,2
P004944	W 24207
P004945	W 24208
P004946	W 24210
P004947	W 24211
P004948	W 24212,1
P004949	W 24212,2
P004950	W 24212,4
P004951	W 24212,5
P004952	W 24212,6
P004953	W 24212,7
P004954	W 24212,8
P004955	W 24213
P004956	W 24214,1
P004957	W 24214,3
P004958	W 24215
P004959	W 24216
P004960	W 24217,a
P004961	W 24217,c
P004962	W 24218
P004963	W 24220
P004964	W 24221
P004965	W 24224
P004966	W 24235
P004967	W 24236
P004968	W 24237
P004969	W 24238
P004970	W 24239
P004971	W 24240
P004972	W 24241
P004973	W 24242,1
P004974	W 24242,2
P004975	W 24243,2
P004976	W 24244,1
P004977	W 24244,2
P004978	W 24244,3
P004979	W 24244,4
P004980	W 24244,5
P004981	W 24245
P004982	W 24246
P004983	W 24246,bis
P004984	W — HD 01
P004985	W — HD 02
P004986	W — HD 03
P004987	W — HD 04
P004988	W — HD 13
P004989	W — HD 14
P004990	W — HD 15
P004991	W — HD 16
P004992	W — HD 17
P004993	W — HD 18
P004994	W — HD 19
P004995	W — HD 20
P004996	W — HD 21
P004997	W — HD 22
P004998	W — ?
P004999	W — ?
P005001	W — ?
P005002	W — ?
P005004	W — ?
P005005	W — ?
P005006	W — ?
P005007	W — ?
P005008	W — ?
P005009	W — ?
P005010	W — ?
P005011	W — ?
P005012	W — ?
P005013	W — ?
P005014	W — ?
P005015	W — ?
P005016	W — ?
P005017	W — ?
P005018	W — ?
P005019	W — ?
P005020	W — ?
P005021	W — ?
P005022	W — ?
P005023	W — ?
P005026	W — ?
P005027	W — ?
P005028	W — ?
P005029	W — ?
P005031	W 99999,zz
P005032	W 99999,zz
P005033	W 99999,zz
P005034	W — ?
P005035	W — ?
P005037	W — ?
P005038	W — ?
P005039	W — ?
P005040	W — ?
P005041	W — ?
P005043	W — ?
P005044	W — ?
P005045	W — ?
P005047	W — ?
P005048	W — ?
P005049	W — ?
P005050	W — ?
P005051	W — ?
P005052	W — ?
P005053	W — ?
P005056	W — ?
P005057	W — ?
P005058	W — ?
P005059	W — ?
P005060	W — ?
P005061	W — ?
P005062	W — ?
P005063	W — ?
P005064	W — ?
P005065	W — ?
P005066	W — ?
P005068	Ashm 1926,561
P005069	Ashm 1926,583
P005070	Ashm 1926,577
P005071	Ashm 1926,638
P005072	Ashm 1926,653 + Ashm 1926,717
P005074	Ashm 1926,587
P005075	Ashm 1926,622
P005076	Ashm 1926,689
P005080	Ashm 1926,597
P005081	Ashm 1926,605
P005082	Ashm 1926,670
P005083	Ashm 1926,710
P005084	Ashm 1926,667
P005085	Ashm 1926,611
P005086	Ashm 1928,581
P005087	Ashm 1926,619
P005088	Ashm 1926,624
P005089	Ashm 1926,706
P005090	Ashm 1926,628
P005091	Ashm 1926,635
P005093	Ashm 1926,623+691
P005094	Ashm 1926,630
P005095	Ashm 1927,62
P005098	Ashm 1926,633
P005099	Ashm 1927,56
P005110	Ashm 1926,733+Frag
P005111	Ashm 1926,672 + 736
P005112	Ashm 1926,669
P005113	Ashm 1926,707
P005114	Ashm 1926,578
P005115	Ashm 1927,57
P005116	Ashm 1926,603
P005117	Ashm 1926,656
P005118	Ashm 1926,661
P005119	Ashm 1926,590
P005120	Ashm 1926,659
P005121	Ashm 1926,595
P005124	Ashm 1927,55.2
P005125	Ashm 1927,46
P005126	Ashm 1927,65g
P005127	Ashm 1927,63
P005128	Ashm 1927,64
P005129	Ashm 1926,745
P005130	Ashm 1926,747
P005131	Ashm 1926,748
P005132	Ashm 1926,708
P005134	Ashm 1926,730
P005136	Ashm 1926,743
P005137	Ashm 1926,698
P005138	Ashm 1926-612
P005139	Ashm 1926,727
P005140	Ashm 1926,718
P005141	Ashm 1926,614
P005142	Ashm 1927,53
P005143	Ashm 1927,47
P005144	Ashm 1927,65a
P005145	Ashm 1926,662
P005146	Ashm 1927,65j
P005147	Ashm 1926,666
P005148	Ashm 1926,637
P005149	Ashm 1927,49
P005150	Ashm 1926,563
P005152	Ashm 1926,617
P005153	Ashm 1926,642
P005154	Ashm 1926,705
P005155	Ashm 1926,699
P005156	Ashm 1926,575
P005157	Ashm 1926,581
P005158	Ashm 1926,697
P005159	Ashm X
P005160	Ashm 1926,564
P005161	Ashm 1926,582+700?+721
P005162	Ashm 1926,576
P005163	Ashm 1926,599
P005164	Ashm 1926,616+729
P005165	Ashm 1926,664
P005166	Ashm 1926,585
P005167	Ashm 1926,655
P005168	Ashm Z
P005169	Ashm 1926,719
P005170	Ashm 1926,570
P005171	Ashm 1926,615
P005172	Ashm 1927,65i
P005173	Ashm 1926,704
P005174	Ashm 1926,573
P005175	Ashm 1926,562
P005176	Ashm 1926,572
P005177	Ashm 1926,668
P005178	Ashm 1926,567
P005179	Ashm 1928,445a
P005180	Ashm 1926,588a
P005181	Ashm 1926,645
P005182	Ashm 1926,636
P005183	Ashm 1926,639
P005184	Ashm 1926,646
P005185	Ashm 1927,65b
P005186	Ashm 1926,627
P005187	Ashm 1928,444
P005188	Ashm 1926,586
P005189	Ashm 1926,589
P005190	Ashm 1926,711
P005192	Ashm 1926,571
P005193	Ashm 1926,610
P005194	Ashm 1926,644
P005195	Ashm 1927...?
P005196	Ashm 1926,723
P005197	Ashm 1926,592
P005198	Ashm 1926,687
P005199	Ashm 1926,665
P005200	Ashm 1926,640
P005201	Ashm 1926,726
P005202	Ashm 1926,696a+b+701
P005203	Ashm 1926,660
P005204	Ashm 1926,722
P005205	Ashm 1926,652
P005206	Ashm 1926,720
P005207	Ashm 1926,657
P005208	Ashm 1927,65e
P005209	Ashm 1926,601
P005210	Ashm 1926,713+734
P005211	Ashm 1926,703
P005212	Ashm 1926,593
P005213	Ashm 1926,569
P005214	Ashm 1926,695+737+741
P005215	Ashm 1926,739
P005216	Ashm 1926,709
P005218	Ashm 1926,671
P005219	Ashm 1927,61
P005220	Ashm 1927,54
P005221	Ashm 1926,641
P005222	Ashm 1926,674
P005223	Ashm 1927,55.1
P005224	Ashm 1927,65h
P005225	Ashm 1926,673b
P005226	Ashm 1926,725
P005227	Ashm 1926,584
P005228	Ashm 1926,591
P005229	Ashm 1926,694a
P005230	Ashm 1926,608
P005231	Ashm 1926,738
P005232	Ashm 1926,607
P005233	Ashm 1926,658
P005234	Ashm 1926,673
P005235	JN 72
P005236	Ashm 1926,648
P005237	Ashm 1926,740
P005238	Ashm 1926,694
P005239	Ashm 1926,675
P005240	Ashm 1926,609
P005241	Ashm 1926,712
P005242	Ashm 1926,600
P005243	Ashm 1926,649
P005244	Ashm 1926,568
P005245	Ashm 1926,594
P005246	Ashm 1926,565
P005247	Ashm 1926,735
P005248	Ashm 1926,598
P005249	Ashm 1926,714
P005250	Ashm 1926,629
P005251	Ashm 1926,602
P005252	Ashm 1926,580
P005253	Ashm 1926,688
P005254	Ashm 1926,702
P005255	Ashm 1926,613
P005256	Ashm 1926,596
P005257	Ashm 1926,631
P005258	Ashm 1926,663
P005259	Ashm 1926,580b
P005260	Ashm 1926,742
P005261	Ashm 1926,588b
P005262	Ashm 1926,731
P005263	Ashm 1928,580
P005264	Ashm 1927,58
P005265	Ashm 1926,715
P005266	Ashm 1927,65f
P005267	Ashm 1927,51
P005268	Ashm 1927,65d
P005269	Ashm 1927,60
P005270	Ashm 1927,52
P005272	Ashm 1928,014
P005273	Ashm 1927,65c
P005274	Ashm 1926,724
P005275	Ashm 1926,626
P005277	Ashm 1926,728
P005279	Ashm 1926,566
P005280	Ashm 1926,647
P005281	Ashm 1926,579
P005282	Ashm 1926,651
P005283	Ashm 1926,606
P005284	Ashm 1926,574+680
P005285	Ashm 1926,643
P005286	Ashm 1926,690
P005287	Ashm 1926,604
P005288	Ashm 1926,654
P005290	Ashm 1926,650
P005291	Ashm 1924,0924
P005292	Ashm 1926,621
P005293	Ashm 1926,692
P005294	Ashm 1926,693
P005295	Ashm 1926,746
P005296	Ashm Y
P005297	Ashm 1927,59
P005298	Ashm 1927,50
P005299	Ashm 1926,625
P005300	Ashm 1926,716+732
P005301	Ashm 1927,48
P005302	Ashm 1926,584a
P005305	Ashm 1926,676
P005306	Ashm 1926,677
P005307	Ashm 1937,626
P005308	Ashm 1929,836
P005309	Ashm 1928,474
P005438	Uq 2, 298
P005439	Uq 2, 299
P005440	Uq 2, 300 ?
P005441	Uq 2, 300 ?
P005476	Ashm 1926, 56
P005481	TA 1930 —
P005482	TA 1930 —
P005573	Talon 1
P006000	W 14731,ag02
P006001	W 14731,ag03
P006002	W 14731,ag04
P006003	W 14731,ag05
P006004	W 14731,ag06
P006005	W 14731,ag07
P006006	W 14731,ag09
P006007	W 14731,ag10
P006008	W 14731,ag11
P006009	W 14731,ag12
P006010	W 14731,ag13
P006011	W 14731,ag14
P006012	W 14731,ag15
P006014	W 02656,a
P006015	W 02656,b
P006016	W 20514,1
P423593	W 14873
