tablet	excavationNumbers
P001029	W 09123,i
P001030	W 09123,k
P001031	W 09123,l
P001032	W 09123,m
P001033	W 09123,n + W 09312,v
P001034	W 09123,o1
P001035	W 09123,o2
P001036	W 09123,p
P001037	W 09123,q
P001040	W 09123,t
P001041	W 09123,u1
P001042	W 09123,u2
P001043	W 09123,v
P001044	W 09123,w
P001045	W 09123,x
P001046	W 09123,y
P001047	W 09123,z
P001050	W 09123,ac
P001051	W 09123,ad
P001052	W 09123,ae
P001053	W 09123,af
P001054	W 09123,ag
P001055	W 09123,?
P001056	W 09168,a
P001057	W 09168,b
P001058	W 09168,c
P001059	W 09168,d
P001060	W 09168,e
P001061	W 09168,f
P001062	W 09168,g
P001063	W 09168,h + W 09168,n + ?
P001064	W 09168,i
P001065	W 09168,j
P001066	W 09168,k
P001067	W 09168,l
P001071	W 09168,p
P001072	W 09168,q
P001073	W 09168,r
P001075	W 09168,t
P001076	W 09168,u
P001077	W 09168,v
P001078	W 09169,a
P001079	W 09169,b
P001080	W 09169,c
P001081	W 09169,e
P001082	W 09169,f
P001083	W 09169,g
P001084	W 09169,h
P001085	W 09169,i
P001087	W 09169,l
P001088	W 09169,m + W 09335,k
P001089	W 09169,n
P001090	W 09169,o
P001091	W 09169,p + W 09169,s
P001092	W 09169,q
P001093	W 09169,r
P001095	W 09169,t
P001096	W 09169,u
P001097	W 09169,v
P001098	W 09169,w
P001100	W 09169,y
P001102	W 09169,aa
P001103	W 09169,ab
P001104	W 09169,ac1
P001105	W 09169,ac2
P001106	W 09169,ad
P001107	W 09169,ae
P001109	W 09169,ag
P001110	W 09169,ah
P001111	W 09169,ai
P001112	W 09169,ak
P001113	W 09169,al
P001114	W 09169,am
P001116	W 09169,ao
P001117	W 09169,ap
P001120	W 09169,as
P001121	W 09169,at
P001122	W 09169,au
P001123	W 09169,av
P001125	W 09169,ax
P001126	W 09169,ay
P001127	W 09169,az
P001128	W 09169,cf?
P001129	W 09169,ha?
P001130	W 09169,?1
P001131	W 09169,?2
P001132	W 09169,?3
P001133	W 09206,a1
P001134	W 09206,a2
P001135	W 09206,b
P001136	W 09206,c
P001137	W 09206,d
P001138	W 09206,e
P001139	W 09206,f
P001140	W 09206,g
P001141	W 09206,h
P001143	W 09206,l
P001144	W 09206,m
P001147	W 09206,p
P001148	W 09206,q
P001149	W 09206,r
P001150	W 09206,s
P001151	W 09206,t
P001152	W 09206,?1
P001153	W 09206,?2
P001154	W 09212
P001155	W 09271
P001156	W 09311,a
P001157	W 09311,b
P001158	W 09311,c
P001159	W 09311,d
P001160	W 09311,e
P001161	W 09311,f +
P001162	W 09311,h
P001163	W 09311,i
P001164	W 09311,k
P001165	W 09311,l
P001166	W 09311,m
P001167	W 09311,n
