sign1	sign2	closeness
2(N01)	MUSZ3~a	  81.03
6(N01)	8(N01)	  81.02
3(N57)	GI	  80.93
E2~a	SAL	  80.83
A	SAL	  80.79
1(N57)	PAP~a	  80.68
3(N57)	SANGA~a	  80.61
4(N01)	NUN~a	  80.60
1(N01)	2(N57)	  80.40
6(N01)	BA	  80.16
1(N01)	KAB	  80.16
2(N01)	MUSZEN	  80.15
1(N34)	U4	  80.11
1(N01)	AMAR	  80.09
2(N01)	DUG~a	  80.07
BA	PAP~a	  80.04
1(N34)	1(N57)	  80.01
3(N01)	KU6~a	  79.96
3(N57)	5(N01)	  79.93
2(N01)	UD5~a	  79.82
2(N01)	TE	  79.69
SI	SZE~a	  79.59
4(N01)	BU~a	  79.47
NUN~a	U4	  79.27
1(N01)	DUB~a	  79.17
A	DU	  79.09
3(N14)	5(N14)	  79.03
BU~a	GI	  79.01
1(N57)	SZE~a	  78.97
SZU	U4	  78.91
2(N14)	A	  78.84
AB~a	SZE~a	  78.73
4(N01)	E2~a	  78.69
3(N57)	DU	  78.67
5(N14)	EN~a	  78.43
2(N14)	PA~a	  78.27
1(N01)	NUNUZ~a1	  78.25
1(N01)	MASZ2	  78.15
4(N01)	A	  78.10
2(N14)	3(N57)	  77.94
EN~a	RU	  77.64
EN~a	MUSZEN	  77.60
AN	ME~a	  77.59
5(N01)	SZU	  77.34
1(N34)	UDU~a	  77.33
2(N14)	SANGA~a	  77.33
1(N14)	MASZ	  77.31
3(N01)	NI~a	  77.13
BAR	U4	  76.98
3(N01)	AB~a	  76.97
GAL~a	U4	  76.89
3(N14)	U4	  76.89
BU~a	GAL~a	  76.77
1(N01)	1(N58)	  76.71
1(N01)	SIG2~b	  76.68
6(N01)	UDU~a	  76.36
5(N01)	5(N14)	  76.21
EN~a	GA~a	  76.18
2(N01)	DA~a	  75.99
2(N14)	SZU	  75.71
1(N34)	BA	  75.69
BAR	EN~a	  75.60
2(N34)	3(N14)	  75.59
E2~a	U4	  75.58
E2~a	SZU	  75.35
1(N14)	NI~a	  75.31
5(N01)	BAR	  75.30
3(N01)	9(N01)	  75.18
DU	SAL	  75.12
AB~a	AN	  75.11
DU	SZU	  74.94
2(N01)	GA~a	  74.94
SANGA~a	U4	  74.92
NUN~a	PAP~a	  74.86
1(N14)	TUR	  74.68
4(N01)	SANGA~a	  74.62
NI~a	RU	  74.60
1(N01)	KASZ~c	  74.57
A	SZU	  74.52
E2~a	GI	  74.51
3(N01)	HI	  74.42
1(N57)	3(N14)	  74.40
