P464182	obverse	2	2. 3(N19) , MUSZ3~a 
P464182	obverse	2	3. 1(N19) , LA2 TE SZE~a 
P464182	obverse	2	4.b. 5(N04) , 
P464182	obverse	3	2. 2(N19) 3(N04) , MUSZ3~a 
P464182	obverse	3	3. 1(N19) 4(N04) , EN~a KISAL~b1 PA~a 
P464182	reverse	1	2.b2. 7(N19) 3(N04) 
P464182	reverse	1	2.b4. 8(N19) 
P464182	reverse	2	2. 1(N46) 4(N19) 5(N04) , 
P464182	reverse	3	1. 2(N45) 2(N19) 6(N14) 5(N04) , SZE~a 1(N57) SI4~f |SIxKU~b1|  SZEG9 E~a
P464183	obverse	3	1. 5(N19) 1(N04) , UR~b#? 
P464183	obverse	3	2. 1(N04) , IDIGNA#? 
P464183	reverse	1	2.b2. 5(N19) 2(N04) , 
P464183	reverse	2	2. 5(N19) 3(N04) 
P464183	reverse	3	1. 2(N45)# 5(N19)# 3(N04)# [...] E~a KISAL~b1 E~b |SIxKU~b1| 
P464184	obverse	3	3. 1(N04) , [...] IDIGNA#? 
P464184	obverse	3	4. 2(N04)# , SZA 
P464184	reverse	2	2. 1(N46) 8(N19) 1(N04) , 
P429582	obverse	1	1.b. 2(N46) 8(N19)# , 
P429582	obverse	1	3.b. 3(N19) , 
P429582	reverse	0	2. 1(N36) 1(N19) , 
P231788	obverse	3	1. 2(N46)# [...] KI 
P231788	obverse	3	2. 2(N19)# [...] X 
P231788	obverse	3	3. 2(N19)# , UR5~a 
P231788	reverse	1	3.a. 2(N46) 2(N19) 2(N04) , 
P231788	reverse	1	3.b1. 1(N46) 3(N19) 5(N04) 1(N41) , SAG 
P231788	reverse	1	3.b2. 8(N19) 2(N04) 4(N41) , BA KI 
P429583	obverse	1	1. 1(N45) 1(N46) , SZE~a SI4~f NUN~a SZAM2 UB BA 
P429583	obverse	2	2. 1(N46) , HI@g~a 
P464189	obverse	1	1. 1(N19) [...] 
P464189	obverse	1	2. 1(N19) 1(N04) [...] 
P464189	obverse	1	3. 2(N19) [...] PA~a [...] 
P464189	obverse	1	4. 1(N19) 4(N04) 4(N41)# 3(N57) , UNUG~a |URU~a1+1(N58)|#? GUB3~a#? 
P464189	reverse	1	1. 1(N46) 2(N14) 4(N01) 4(N41) , 
P231787	obverse	1	1.b3. 3(N19) 
P235782	obverse	2	5. 2(N01) , SZE~a EN~a 1(N04) , AN 
P235782	reverse	1	1. 2(N14) , EN~a |AB~ax(SZE~a&SZE~a)| |AB~ax1(N04)| 
P235782	reverse	1	2. 1(N14) 3(N01) , SZU |AB~ax(SZE~a&SZE~a)| |AB~ax1(N04)|# 
P235782	reverse	2	1. 3(N14)# [3(N01)] , |AB~ax(SZE~a&SZE~a)|# [|AB~ax1(N04)|] 
P250423	reverse	1	1.a. 2(N14)# 2(N01)# 1(N24)# 2(N41)# , SZE~a 
P250423	reverse	1	1.b2. 2(N41)# , 
P464140	obverse	1	2'. 3(N19) 3(N04) , DUB~a LAGAB~b TE 
P464140	obverse	2	1. [...] X 4(N19) 3(N04) 4(N41) , 
P464273	obverse	0	2.a. 1(N36) 2(N46) 1(N19) 5(N04)# 
P464273	obverse	0	2.b1. 5(N19) , LAGAB~b TE 
P464273	obverse	0	2.b2. 1(N36) 1(N46) 6(N19) 3(N04) , GIBIL U4 
P464273	obverse	0	2.b3. 2(N04) , LAGAB~b TE GIBIL U4 
P464273	reverse	0	2. 5(N34) 1(N36) [...] 1(N45) [...] 3(N01) , SZE~a BA SZAM2# 
P002275	obverse	1	2.b. 1(N36) 1(N45) 2(N14) [...] , [...]
P002260	obverse	1	2. [...] 3(N01) , 1(N04) NAM2 [...]
P002310	obverse	2	1. 1(N04) , LUM# [...]
P002464	reverse	1	2. 2(N34) 4(N14) 5(N01) , |SZITA@g~ax1(N04)| BA SZITA~a1
P002776	obverse	1	1. 1(N46) , X GAR
P002776	obverse	2	2. 1(N46) , DA~a# [...]
P002783	obverse	1	3.b. 8(N19) ,
P002783	reverse	1	2. 1(N49) , KA~a#? [...]
P002783	reverse	1	3. 5(N19) , |GISZ.TE| [...]
P002809	obverse	1	1. [...] 6(N36)# , [...]
P002809	obverse	1	2. 1(N36)# 4(N19) 3(N04)# , [...]
P002809	obverse	1	4. [...] 1(N36)# 2(N19)# [...] , [...]
P002782	obverse	1	1. 1(N36) 2(N46) [...] , [...]
P002727	reverse	1	1. [...] 1(N36) [...] , SZE~a [...]
P002652	obverse	1	3. 1(N36) 1(N46) , [...]
P002756	obverse	2	1. [...] 4(N04)? , [...]
P002767	obverse	1	2. [...] 5(N19) , [...]
P003768	obverse	2	3. , U4 UDUNITA~a 1(N04) BU~a
P003967	obverse	2	1. , MUSZEN 1(N04)
P004670	obverse	1	3. , IB~a# 1(N04) TAK4~a KI E2~a
P003655	obverse	1	4.b. , 1(N04) X
P003655	obverse	1	5.a. [...] , 1(N04) AB~a?
P003785	obverse	1	1. [...] 1(N01)# , DU 1(N04) [...]
P003785	obverse	1	2. [...] 1(N04)# , [...] X X
P004292	obverse	1	2. , SAL (ZATU628~b 1(N04) AMA~a)a SU~a PAP~a 
P004392	obverse	1	1.b. 4(N36)# 4(N19)# [...] , [...]
P004392	reverse	1	2.a. 1(N46) 2(N19) 1(N04) [...] , UR5~a HI@g~a# [...]
P004392	reverse	1	2.b. [...] 1(N04)# , [...]
P004392	reverse	2	1. 1(N49) 4(N34) 1(N45) 4(N14) 3(N01)# [...] , SZE~a APIN~a [...]
P004452	reverse	1	3. 5(N04) , |GAN~cxNE~a|?
P004514	obverse	1	1. [...] 1(N36)# 1(N19) 4(N04) , [...]
P004514	obverse	2	1. 3(N19) 1(N04) 3(N41) [...] , [...]
P004514	reverse	1	2. 5(N19) 3(N04)# [...] , [...]
P004520	reverse	1	1. [...] 2(N19) , X SAG [...]
P006022	obverse	2	2. 1(N04)# , |EZEN~axSU~a|# X [...]
P006022	reverse	2	2. 1(N04)# , LAGAB~b [...]
P006027	obverse	1	3.b2. , (1(N04) SI)a 
P006035	obverse	4	2.a. 1(N04)? , HI@g~a UNUG~a GI
P006035	obverse	4	3. 1(N19) 5(N04) , TAK4~a U2~b APIN~a
P006035	obverse	4	4.a. 2(N19) , HI@g~a 3(N57) |EN2.E2~b|
P006035	obverse	4	5. 1(N04) , HI@g~a AN
P006035	obverse	4	6. 1(N19) , UNUG~a GI
P006035	reverse	1	2. 6(N19) 5(N04) 1(N08) ,
P006035	reverse	2	1. 1(N34) 2(N19) 3(N04) 2(N08) , SZE~a GU7
P006048	obverse	1	1.b2. , (EN~a 1(N04))a 
P006057	obverse	1	2. 2(N46) 7(N19) , GAL~a# AN#
P006064	obverse	1	1.b. 1(N46) 4(N19) ,
P006064	reverse	1	2. 1(N46) 4(N19) ,
P006080	obverse	2	4.b5. , KU6~a 1(N04)
P006111	obverse	2	2.a. 5(N01)# , SZU2 TUG2~a 1(N04) EN~a
P006163	obverse	2	2. 1(N01) , KASZ~c# 1(N04) AN
P006238	obverse	1	2.a. [...] , [...] 1(N04)# SU~a# X
P006257	reverse	1	1. 2(N45)# [...] 1(N19)? [...] , BA [...]
P006273	obverse	1	1. 5(N14) , SZE~a SZE3 1(N04)
P006273	obverse	1	2. 3(N36) 2(N46) ,
P006298	obverse	1	1. 1(N46) 3(N20) 3(N05) 3(N42~a) 1(N25) , SZE~a
P006298	reverse	1	1. 1(N46)# 3(N20)# 3(N05)# 3(N42~a)# 1(N25)# , SZE~a#
P006298	reverse	2	1. 2(N46) 1(N20)#? 5(N05)#? 1(N42~a)#? 1(N25)# , HI@g~a# SZE~a BA
P006310	obverse	1	2.b. 5(N19) ,
P006310	obverse	1	3.b. 1(N36) ,
P006319	obverse	1	2.a1. 1(N36) 1(N46) , KALAM~a PA~a
P006319	obverse	2	1.a2. 1(N36)# 1(N46)# , SZAGAN |GI&GI|
P006319	obverse	2	2.a3. 3(N19) [...] , [...]
P006319	obverse	2	4.a. 3(N19) , E2~b NAGA~a
